y;x
48.69508;-3.73359
52.86504;1.34311
53.25453;-4.02385
47.50105;-2.38397
34.6497;137.082
38.1;-1.1
38.1;-3.1
41.1;-7.1
53.62076;-0.41234
48.4149;2.36641
45.33333;14.3
41.7;-8
34.85032;137.80233
48.8015;2.02221
43.141;-2.932
-45.89002;170.33983
43.07;-7.77
51.19212;-0.3541
52.10109;-1.34296
28.7288;-17.7865
36.37;-6
45.705;13.71972
51.82938;-1.05666
42.09;-8.63
44.31667;9.5
51.55841;-3.082
46.9455;1.21992
38.8;-7
39.97927;3.97212
43.7656;7.4589
51.91803;-3.09062
40.1;-6.1
47.57827;-2.65847
42.39;-7
43.23;-5.88
51.8233;-0.47632
59.8448;17.637
51.90152;-4.25323
53.64498;-3.01364
51.18774;-0.06802
43.2704;-8.6303
43.24;-4.84
43.16761;-1.66652
42.17;-1.91
36.54765;-4.77198
52.64326;-2.57128
-39.51024;174.31957
54.26316;-8.41509
42.63;-9.12
52.18985;-6.35495
-33.7;150.4
47.20514;9.53098
37.84;-4.93
47.27065;-1.43321
47.681;0.39076
43.168;-3.277
40.12181;-0.24234
37.85;-4.14
42.89;-8.14
33.30222;-116.90972
47.0556;0.49682
47.56;9.58
46.3135;3.98295
44.21;-2.56
36.22924;-5.7161
42;6
39;22.58
52.44058;0.28064
49.25408;-123.25081
38.58625;-0.07254
40.62503;22.97255
38.76624;0.06519
54.1373;-4.83225
50.94593;10.70343
48.54816;-4.66704
50.46866;-3.90251
36.25;22.95
40.86666;14.25
42.99;-8.75
47.34468;-1.83736
34.8732;134.454
42.67364;-2.33007
51.35957;0.37019
40;9
52.9628;1.05274
44.86972;13.84111
48.22342;-4.07874
56.22119;-4.01612
43.43;-8.01
45.71918;1.13578
37.769;-3.891
41.5;-1.5
41.66;-4.63
41.77;33.1
