tipo;x;y;presencia
robledal;465850;4109650;1
robledal;465850;4109450;1
robledal;465950;4109850;1
robledal;466050;4110050;1
robledal;466050;4109650;1
robledal;466050;4109450;1
robledal;466050;4109250;1
robledal;466150;4109850;1
robledal;466250;4110050;1
robledal;466250;4109650;1
robledal;466250;4109450;1
robledal;466250;4091050;1
robledal;466350;4109850;1
robledal;466350;4091650;1
robledal;466350;4091450;1
robledal;466350;4091250;1
robledal;466450;4109650;1
robledal;466450;4109450;1
robledal;466450;4109250;1
robledal;466450;4091850;1
robledal;466450;4091050;1
robledal;466550;4109850;1
robledal;466550;4091650;1
robledal;466550;4091450;1
robledal;466550;4091250;1
robledal;466650;4109650;1
robledal;466650;4109450;1
robledal;466650;4109250;1
robledal;466650;4091050;1
robledal;466850;4109750;1
robledal;466850;4109550;1
robledal;466850;4109350;1
robledal;466850;4109150;1
robledal;466850;4108850;1
robledal;466850;4092150;1
robledal;466850;4091950;1
robledal;466950;4092750;1
robledal;467050;4109650;1
robledal;467050;4109450;1
robledal;467050;4109250;1
robledal;467050;4109050;1
robledal;467050;4093250;1
robledal;467050;4093050;1
robledal;467050;4089750;1
robledal;467150;4092850;1
robledal;467250;4109550;1
robledal;467250;4109350;1
robledal;467250;4109150;1
robledal;467250;4092550;1
robledal;467250;4089850;1
robledal;467250;4089650;1
robledal;467350;4093550;1
robledal;467450;4109450;1
robledal;467450;4109250;1
robledal;467450;4109050;1
robledal;467450;4093750;1
robledal;467450;4092550;1
robledal;467450;4089850;1
robledal;467550;4108650;1
robledal;467550;4093550;1
robledal;467550;4093350;1
robledal;467550;4092350;1
robledal;467650;4109550;1
robledal;467650;4109350;1
robledal;467650;4109150;1
robledal;467650;4108850;1
robledal;467650;4108450;1
robledal;467650;4093750;1
robledal;467650;4093150;1
robledal;467650;4092150;1
robledal;467750;4108650;1
robledal;467750;4093450;1
robledal;467850;4109450;1
robledal;467850;4109250;1
robledal;467850;4109050;1
robledal;467850;4108850;1
robledal;467850;4108450;1
robledal;467850;4093150;1
robledal;467950;4108650;1
robledal;468050;4109350;1
robledal;468050;4109150;1
robledal;468050;4108950;1
robledal;468050;4108450;1
robledal;468050;4093050;1
robledal;468150;4108750;1
robledal;468250;4109450;1
robledal;468250;4109250;1
robledal;468250;4109050;1
robledal;468250;4108550;1
robledal;468250;4108350;1
robledal;468350;4108850;1
robledal;468450;4109550;1
robledal;468450;4109350;1
robledal;468450;4109150;1
robledal;468450;4108450;1
robledal;468450;4094850;1
robledal;468450;4094650;1
robledal;468550;4108950;1
robledal;468650;4109550;1
robledal;468650;4109350;1
robledal;468650;4109150;1
robledal;468650;4108750;1
robledal;468650;4108350;1
robledal;468650;4108150;1
robledal;468650;4094750;1
robledal;468650;4093050;1
robledal;468750;4107950;1
robledal;468850;4109650;1
robledal;468850;4109250;1
robledal;468850;4109050;1
robledal;468850;4108850;1
robledal;468850;4108650;1
robledal;468850;4108450;1
robledal;468850;4108250;1
robledal;468850;4107750;1
robledal;468850;4107350;1
robledal;468850;4093150;1
robledal;468950;4108050;1
robledal;468950;4107550;1
robledal;468950;4107150;1
robledal;469050;4109650;1
robledal;469050;4108750;1
robledal;469050;4108550;1
robledal;469050;4108350;1
robledal;469050;4107850;1
robledal;469050;4107350;1
robledal;469050;4106950;1
robledal;469150;4109450;1
robledal;469150;4108150;1
robledal;469150;4107150;1
robledal;469250;4109250;1
robledal;469250;4108550;1
robledal;469250;4108350;1
robledal;469250;4107950;1
robledal;469250;4107350;1
robledal;469350;4109450;1
robledal;469350;4108150;1
robledal;469350;4107150;1
robledal;469450;4109250;1
robledal;469450;4107950;1
robledal;469450;4107450;1
robledal;469550;4109050;1
robledal;469750;4109050;1
robledal;472750;4089850;1
robledal;472850;4090850;1
robledal;472850;4090050;1
robledal;472850;4089650;1
robledal;472950;4090650;1
robledal;472950;4090450;1
robledal;472950;4090250;1
robledal;472950;4089850;1
robledal;473050;4090050;1
robledal;473250;4091550;1
robledal;473250;4091350;1
robledal;473250;4088650;1
robledal;473350;4091150;1
robledal;473350;4089850;1
robledal;473350;4088850;1
robledal;473450;4091750;1
robledal;473450;4091550;1
robledal;473450;4090950;1
robledal;473450;4089650;1
robledal;473550;4091150;1
robledal;473550;4089850;1
robledal;473550;4089450;1
robledal;473550;4089250;1
robledal;473550;4089050;1
robledal;473550;4088850;1
robledal;473650;4090850;1
robledal;473650;4089650;1
robledal;473750;4093850;1
